"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_LDD_CUSTOMER_DEAL";"DEAL";"LDD";"CUSTOMER_DEAL";"OUT_LDD_CUSTOMER_DEAL"
"OUT_LDD_CUSTOMER_RISK";"RISK";"LDD";"CUSTOMER_RISK";"OUT_LDD_CUSTOMER_RISK"
"OUT_LDD_PART_OF_FUND";"FUND";"LDD";"PART_OF_FUND";"OUT_LDD_PART_OF_FUND"
"OUT_LDD_FORBEARANCE";"BK";"LDD";"FORBEARANCE";"OUT_LDD_FORBEARANCE_BK"
"OUT_CCF_DEFAULT_HISTORY";"H";"CCF";"DEFAULT_HISTORY";"OUT_CCF_DEFAULT_HISTORY_H"
"OUT_LGD_DEF_COLL_COSTS";"H";"LGD";"DEF_COLL_COSTS";"OUT_LGD_DEF_COLL_COSTS_H"
"OUT_LDD_DEFAULT_EVENT";"EVENT";"LDD";"DEFAULT_EVENT";"OUT_LDD_DEFAULT_EVENT"
"OUT_NTF_OVD_WEEKLY";"V";"NTF";"OVD_WEEKLY";"OUT_NTF_OVD_WEEKLY_V"
"OUT_LDD_WORKOUT_DEF_EVENT";"BK";"LDD";"WORKOUT_DEF_EVENT";"OUT_LDD_WORKOUT_DEF_EVENT_BK"
"OUT_LDD_ADDS_GPM_CORR";"CORR";"LDD";"ADDS_GPM_CORR";"OUT_LDD_ADDS_GPM_CORR"
"OUT_LDD_REPAYMENT_CORR";"H";"LDD";"REPAYMENT_CORR";"OUT_LDD_REPAYMENT_CORR_H"
"OUT_RICOS_ACCOUNTS";"ACCOUNTS";"RICOS";"ACCOUNTS";"OUT_RICOS_ACCOUNTS"
"OUT_SCO_CUSTOMER_ACCOUNT";"ACCOUNT";"SCO";"CUSTOMER_ACCOUNT";"OUT_SCO_CUSTOMER_ACCOUNT"
"OUT_RICOS_ACC_COLL";"COLL";"RICOS";"ACC_COLL";"OUT_RICOS_ACC_COLL"
"OUT_LDD_COAL_ALLOCATION";"ALLOCATION";"LDD";"COAL_ALLOCATION";"OUT_LDD_COAL_ALLOCATION"
"OUT_NTF_FATCA";"FATCA";"NTF";"FATCA";"OUT_NTF_FATCA"
"OUT_LDD_LEASING";"LEASING";"LDD";"LEASING";"OUT_LDD_LEASING"
"OUT_SCO_CUSTOMER_ALIAS";"ALIAS";"SCO";"CUSTOMER_ALIAS";"OUT_SCO_CUSTOMER_ALIAS"
"OUT_LDD_COAL_COLLATERAL";"COLLATERAL";"LDD";"COAL_COLLATERAL";"OUT_LDD_COAL_COLLATERAL"
"OUT_LDD_CUSTOMER_ACCOUNT";"ACCOUNT";"LDD";"CUSTOMER_ACCOUNT";"OUT_LDD_CUSTOMER_ACCOUNT"
"OUT_SCO_DEAL";"DEAL";"SCO";"DEAL";"OUT_SCO_DEAL"
"OUT_LDD_BWI_FIN_STATEMENT";"STATEMENT";"LDD";"BWI_FIN_STATEMENT";"OUT_LDD_BWI_FIN_STATEMENT"
"OUT_LDD_WORKOUT_EXP_INC";"INC";"LDD";"WORKOUT_EXP_INC";"OUT_LDD_WORKOUT_EXP_INC"
"OUT_LDD_COLLATERAL_CORR";"H";"LDD";"COLLATERAL_CORR";"OUT_LDD_COLLATERAL_CORR_H"
"OUT_LDD_COAL_EXP_BASE_CON";"CON";"LDD";"COAL_EXP_BASE_CON";"OUT_LDD_COAL_EXP_BASE_CON"
"OUT_NTF_MON_OVD";"V";"NTF";"MON_OVD";"OUT_NTF_MON_OVD_V"
"OUT_SCO_REL_MANAGER";"MANAGER";"SCO";"REL_MANAGER";"OUT_SCO_REL_MANAGER"
"OUT_LDD_PRECACC_PROV_YEAR";"YEAR";"LDD";"PRECACC_PROV_YEAR";"OUT_LDD_PRECACC_PROV_YEAR"
"OUT_LDD_B2_EXPOSURE_BASE";"BASE";"LDD";"B2_EXPOSURE_BASE";"OUT_LDD_B2_EXPOSURE_BASE"
"OUT_LDD_CUSTOMER_COLL_CORR";"H";"LDD";"CUSTOMER_COLL_CORR";"OUT_LDD_CUSTOMER_COLL_CORR_H"
"OUT_LDD_DEAL_STG5_DOMAINS";"DOMAINS";"LDD";"DEAL_STG5_DOMAINS";"OUT_LDD_DEAL_STG5_DOMAINS"
"OUT_SCO_COLL_DEAL";"DEAL";"SCO";"COLL_DEAL";"OUT_SCO_COLL_DEAL"
"OUT_LDD_REPAYMENT_CORR";"CORR";"LDD";"REPAYMENT_CORR";"OUT_LDD_REPAYMENT_CORR"
"OUT_LDD_CUSTOMER";"CUSTOMER";"LDD";"CUSTOMER";"OUT_LDD_CUSTOMER"
"OUT_LDD_CUSTOMER_GRC_RE_CORR";"CORR";"LDD";"CUSTOMER_GRC_RE_CORR";"OUT_LDD_CUSTOMER_GRC_RE_CORR"
"OUT_SB_PARTY_INCOME";"INCOME";"SB";"PARTY_INCOME";"OUT_SB_PARTY_INCOME"
