"in_object_name";"atc_is_out_table";"atc_object_name"
"OUT_LDD_CUSTOMER_ACCOUN_CORR_H";true;"OUT_LDD_CUSTOMER_ACCOUN_CORR_H"
"OUT_LDD_CUSTOMER_REL_CORR_H";true;"OUT_LDD_CUSTOMER_REL_CORR_H"
"OUT_LDD_CUSTOMER_ACCOUN_CORR";true;"OUT_LDD_CUSTOMER_ACCOUN_CORR"
"OUT_LDD_CUSTOMER_ALIAS_CORR";true;"OUT_LDD_CUSTOMER_ALIAS_CORR"
"OUT_LDD_CUSTOMER_RATING_CORR";true;"OUT_LDD_CUSTOMER_RATING_CORR"
"OUT_LDD_CHR_VALUE_CC";true;"OUT_LDD_CHR_VALUE_CC"
"OUT_LDD_TREASURY_H";true;"OUT_LDD_TREASURY_H"
"OUT_LDD_SECURITY";true;"OUT_LDD_SECURITY"
"OUT_LDD_DOMAIN_IFRS_POS";true;"OUT_LDD_DOMAIN_IFRS_POS"
"OUT_LDD_REL_MANAGER";true;"OUT_LDD_REL_MANAGER"
"OUT_LDD_CUSTOMER_DEAL";true;"OUT_LDD_CUSTOMER_DEAL"
"OUT_LDD_DOM_INSTALM_TYPE";true;"OUT_LDD_DOM_INSTALM_TYPE"
"OUT_LDD_DOM_REPAYM_FREQ";true;"OUT_LDD_DOM_REPAYM_FREQ"
"OUT_LDD_CUSTOMER_RATING";true;"OUT_LDD_CUSTOMER_RATING"
"OUT_AML_CUST_ACC_LINK_CNT";true;"OUT_AML_CUST_ACC_LINK_CNT"
"OUT_LDD_CUSTOMER_ALIAS_BK";true;"OUT_LDD_CUSTOMER_ALIAS_BK"
"OUT_AML_TRANS_SOURCE_TYPE";true;"OUT_AML_TRANS_SOURCE_TYPE"
"OUT_SCO_CUSTOMER_ACCOUNT";true;"OUT_SCO_CUSTOMER_ACCOUNT"
"OUT_LDD_ACC_STG1_DEALRANK";true;"OUT_LDD_ACC_STG1_DEALRANK"
"OUT_LDD_WORKOUT_DEF_EVENT";true;"OUT_LDD_WORKOUT_DEF_EVENT"
"OUT_FMS_OVD_LIMITS_AUDIT";true;"OUT_FMS_OVD_LIMITS_AUDIT"
"OUT_LDD_PRECACC_PROV_YEAR";true;"OUT_LDD_PRECACC_PROV_YEAR"
"OUT_LDD_REL_MANAGER_CORR_H";true;"OUT_LDD_REL_MANAGER_CORR_H"
"OUT_RICOS_ACCOUNTS";true;"OUT_RICOS_ACCOUNTS"
"OUT_LDD_BASE_VAL_ALOC";true;"OUT_LDD_BASE_VAL_ALOC"
"OUT_LDD_CUSTOMER_RATING_STG1";true;"OUT_LDD_CUSTOMER_RATING_STG1"
"OUT_SOA_AXA_CARD_ACTIV_MV";true;"OUT_SOA_AXA_CARD_ACTIV_MV"
"OUT_LDD_NETTING_GROUP";true;"OUT_LDD_NETTING_GROUP"
"OUT_LDD_B2_EXPOSURE";true;"OUT_LDD_B2_EXPOSURE"
"OUT_LDD_RWA_PROVISION";true;"OUT_LDD_RWA_PROVISION"
"OUT_OVD_RENEWAL";true;"OUT_OVD_RENEWAL"
"OUT_LDD_TREASURY_CORR_H";true;"OUT_LDD_TREASURY_CORR_H"
"OUT_LDD_WORKOUT";true;"OUT_LDD_WORKOUT"
"OUT_LDD_COAL_COLLATERAL";true;"OUT_LDD_COAL_COLLATERAL"
"OUT_LGD_DEF_COLL_STATUS";true;"OUT_LGD_DEF_COLL_STATUS"
"OUT_LGD_DEF_COL_PAYMENTS";true;"OUT_LGD_DEF_COL_PAYMENTS"
"OUT_LDD_PREC_ACC_LEVEL__CORR_H";true;"OUT_LDD_PREC_ACC_LEVEL__CORR_H"
"OUT_LDD_CUSTOMER_COLL_CORR";true;"OUT_LDD_CUSTOMER_COLL_CORR"
"OUT_LDD_CUSTOMER_REL_CORR";true;"OUT_LDD_CUSTOMER_REL_CORR"
"OUT_LDD_REPAYMENT_CORR";true;"OUT_LDD_REPAYMENT_CORR"
"OUT_LDD_DEFAULT_EVENT";true;"OUT_LDD_DEFAULT_EVENT"
"OUT_LDD_WORKOUT_DEF_EVENT_BK";true;"OUT_LDD_WORKOUT_DEF_EVENT_BK"
"OUT_QRM_MAIN";true;"OUT_QRM_MAIN"
"OUT_LDD_PART_OF_FUND";true;"OUT_LDD_PART_OF_FUND"
"OUT_LDD_CUST_ACC2_STG1";true;"OUT_LDD_CUST_ACC2_STG1"
"OUT_LDD_FEE_GPM";true;"OUT_LDD_FEE_GPM"
"OUT_LDD_CUSTOMER_GRC_REL";true;"OUT_LDD_CUSTOMER_GRC_REL"
"OUT_LDD_CUSTOMER_UK";true;"OUT_LDD_CUSTOMER_UK"
"OUT_LDD_COLLATERAL";true;"OUT_LDD_COLLATERAL"
"OUT_LDD_COLL_DEAL";true;"OUT_LDD_COLL_DEAL"
"OUT_LDD_TREASURY";true;"OUT_LDD_TREASURY"
"OUT_AML_CUSTOMER_DAILY";true;"OUT_AML_CUSTOMER_DAILY"
"OUT_LDD_DEAL";true;"OUT_LDD_DEAL"
"OUT_LDD_CUSTOMER_COLL_BK";true;"OUT_LDD_CUSTOMER_COLL_BK"
"OUT_LDD_FEE_GPM_BK";true;"OUT_LDD_FEE_GPM_BK"
"OUT_AML_CUSTOMER_SEGMENT_3";true;"OUT_AML_CUSTOMER_SEGMENT_3"
"OUT_LDD_CUST_RATING_KRIMI_STG";true;"OUT_LDD_CUST_RATING_KRIMI_STG"
"OUT_LDD_REPAYMENT_STG";true;"OUT_LDD_REPAYMENT_STG"
"OUT_SCO_ACCOUNT";true;"OUT_SCO_ACCOUNT"
"OUT_SCO_ADDS_GPM";true;"OUT_SCO_ADDS_GPM"
"OUT_SCO_COLLATERAL";true;"OUT_SCO_COLLATERAL"
"OUT_AML_ACCOUNT_DAILY";true;"OUT_AML_ACCOUNT_DAILY"
"OUT_LDD_GPM_INTEREST_ACBAL_STG";true;"OUT_LDD_GPM_INTEREST_ACBAL_STG"
"OUT_LDD_PRECACC_PROV3112";true;"OUT_LDD_PRECACC_PROV3112"
"OUT_CQA_ACCOUNTS";true;"OUT_CQA_ACCOUNTS"
"OUT_SB_INDICATORS_BKP0305";true;"OUT_SB_INDICATORS_BKP0305"
"OUT_SB_INDICATOR_TYPES";true;"OUT_SB_INDICATOR_TYPES"
"OUT_SB_OVD_LIMITS";true;"OUT_SB_OVD_LIMITS"
"OUT_LDD_DEAL_CORR_H";true;"OUT_LDD_DEAL_CORR_H"
"OUT_LDD_DEAL_CORR";true;"OUT_LDD_DEAL_CORR"
"OUT_LDD_ACT_BASED_COST";true;"OUT_LDD_ACT_BASED_COST"
"OUT_LDD_NETTING_PRODUCTS";true;"OUT_LDD_NETTING_PRODUCTS"
"OUT_EAM_SHAREHOLDERS";true;"OUT_EAM_SHAREHOLDERS"
"OUT_NTF_OVD_WEEKLY_V";true;"OUT_NTF_OVD_WEEKLY_V"
"OUT_LDD_WORKOUT_BK";true;"OUT_LDD_WORKOUT_BK"
"OUT_LGD_DEFAULT_ACCOUNTS";true;"OUT_LGD_DEFAULT_ACCOUNTS"
"OUT_NE_APPROVAL_INPUT_STG1";true;"OUT_NE_APPROVAL_INPUT_STG1"
"OUT_NE_APPROVAL_INPUT_STG2";true;"OUT_NE_APPROVAL_INPUT_STG2"
"OUT_NTF_MON_OVD_PREV";true;"OUT_NTF_MON_OVD_PREV"
"OUT_LDD_TIL";true;"OUT_LDD_TIL"
"OUT_LDD_CUSTOMER_DEAL_CORR_H";true;"OUT_LDD_CUSTOMER_DEAL_CORR_H"
"OUT_LDD_FEE_CORR_H";true;"OUT_LDD_FEE_CORR_H"
"OUT_LDD_FEE_GPM_CORR_H";true;"OUT_LDD_FEE_GPM_CORR_H"
"OUT_SB_COLLATERAL_EXPOSURE";true;"OUT_SB_COLLATERAL_EXPOSURE"
"OUT_NTF_CDV";true;"OUT_NTF_CDV"
"OUT_DYNAMIC_SQL";true;"OUT_DYNAMIC_SQL"
"OUT_LDD_CUSTOMER";true;"OUT_LDD_CUSTOMER"
"OUT_LDD_GPM_INTEREST_STG";true;"OUT_LDD_GPM_INTEREST_STG"
"OUT_LDD_CUSTOMER_COLL";true;"OUT_LDD_CUSTOMER_COLL"
"OUT_LDD_CUSTOMER_RISK";true;"OUT_LDD_CUSTOMER_RISK"
"OUT_AML_ASSOC_INFO_DAILY_CNT";true;"OUT_AML_ASSOC_INFO_DAILY_CNT"
"OUT_AML_DEVICE";true;"OUT_AML_DEVICE"
"OUT_STG_TOT_EXP";true;"OUT_STG_TOT_EXP"
"OUT_SCO_CUSTOMER_RATING";true;"OUT_SCO_CUSTOMER_RATING"
"OUT_SCO_CUSTOMER_COLL";true;"OUT_SCO_CUSTOMER_COLL"
"OUT_LDD_ACC_STG2_HUGETAB";true;"OUT_LDD_ACC_STG2_HUGETAB"
"OUT_LDD_TVL_VALUE_CC";true;"OUT_LDD_TVL_VALUE_CC"
"OUT_LDD_WORKOUT_DEF_EVENT_CORR";true;"OUT_LDD_WORKOUT_DEF_EVENT_CORR"
"OUT_LDD_WORK_DEF_EVENT_CORR_H";true;"OUT_LDD_WORK_DEF_EVENT_CORR_H"
"OUT_LDD_PREC_ACC_LEVEL_SB";true;"OUT_LDD_PREC_ACC_LEVEL_SB"
"OUT_SB_INSPOL_EXPIRED";true;"OUT_SB_INSPOL_EXPIRED"
"OUT_LDD_RWA_EXPOSURE_COLL";true;"OUT_LDD_RWA_EXPOSURE_COLL"
"OUT_NTF_MON_OVD_V";true;"OUT_NTF_MON_OVD_V"
"OUT_LDD_COAL_EXPOSURE_CON";true;"OUT_LDD_COAL_EXPOSURE_CON"
"OUT_LGD_DEF_ACCOUNT_PAYMENTS";true;"OUT_LGD_DEF_ACCOUNT_PAYMENTS"
"OUT_LGD_DEFAULT_COLL";true;"OUT_LGD_DEFAULT_COLL"
"OUT_LGD_DEF_ACCOUNT_STATUS_H";true;"OUT_LGD_DEF_ACCOUNT_STATUS_H"
"OUT_LGD_DEF_COLL_COSTS";true;"OUT_LGD_DEF_COLL_COSTS"
"OUT_LGD_DEF_COLL_COSTS_H";true;"OUT_LGD_DEF_COLL_COSTS_H"
"OUT_LGD_DEF_COL_PAYMENTS_H";true;"OUT_LGD_DEF_COL_PAYMENTS_H"
"OUT_NE_APPROVAL_INPUT";true;"OUT_NE_APPROVAL_INPUT"
"OUT_LDD_COLL_ACCOUNT_CORR";true;"OUT_LDD_COLL_ACCOUNT_CORR"
"OUT_LDD_FEE_CORR";true;"OUT_LDD_FEE_CORR"
"OUT_LDD_PRECACC_DUPL_DEALS";true;"OUT_LDD_PRECACC_DUPL_DEALS"
"OUT_LDD_DEAL_STG6_DEFVAL";true;"OUT_LDD_DEAL_STG6_DEFVAL"
"OUT_LDD_INTEREST_GPM";true;"OUT_LDD_INTEREST_GPM"
"OUT_AML_BUSINESS_SEGMENT_2";true;"OUT_AML_BUSINESS_SEGMENT_2"
"OUT_AML_CUSTOMER_SEGMENT_1";true;"OUT_AML_CUSTOMER_SEGMENT_1"
"OUT_LDD_DEAL_COLL_STG";true;"OUT_LDD_DEAL_COLL_STG"
"OUT_SCO_INTEREST_GPM";true;"OUT_SCO_INTEREST_GPM"
"OUT_AML_ASSOCIATED_INFO_DAILY";true;"OUT_AML_ASSOCIATED_INFO_DAILY"
"OUT_LDD_DEAL_STG3";true;"OUT_LDD_DEAL_STG3"
"OUT_LDD_DEAL_STG2";true;"OUT_LDD_DEAL_STG2"
"OUT_LDD_CUST_INDIV_STG1";true;"OUT_LDD_CUST_INDIV_STG1"
"OUT_LDD_STG_RAT_LTV";true;"OUT_LDD_STG_RAT_LTV"
"OUT_FORBEARANCE_INTERVAL_LOGS";true;"OUT_FORBEARANCE_INTERVAL_LOGS"
"OUT_LDD_CUSTOMER_RATING_STGOLD";true;"OUT_LDD_CUSTOMER_RATING_STGOLD"
"OUT_CQA_ACCOUNT_COLLATERALS";true;"OUT_CQA_ACCOUNT_COLLATERALS"
"OUT_FB_PARTY_IND_BKP0305";true;"OUT_FB_PARTY_IND_BKP0305"
"OUT_FB_INTERVALS_BKP0305";true;"OUT_FB_INTERVALS_BKP0305"
"OUT_FB_INT_LOGS_BKP0305";true;"OUT_FB_INT_LOGS_BKP0305"
